,0
0,184.25
1,177.25
2,162.5
3,179.75
4,151.0
5,167.75
6,183.75
7,230.0
8,162.75
9,146.0
10,143.0
11,176.0
12,176.0
13,154.5
14,155.5
15,218.5
16,194.0
17,205.75
18,169.5
19,234.25
20,168.25
21,165.25
22,195.75
23,188.75
24,148.25
25,203.25
26,154.5
27,184.25
28,177.25
29,178.75
30,161.0
31,137.25
32,151.5
33,131.5
34,182.25
35,200.25
36,179.75
37,262.75
38,205.25
39,184.75
40,200.25
41,151.25
42,182.0
43,126.5
44,216.0
45,181.5
46,212.75
47,160.25
48,211.75
49,185.0
50,166.75
51,136.25
52,200.5
53,163.75
54,139.25
55,154.0
56,161.75
57,177.0
58,168.25
59,157.75
60,186.25
61,188.15
62,219.25
63,168.75
64,205.0
65,187.75
66,148.0
67,158.25
68,174.5
69,179.0
70,234.75
71,133.5
72,176.25
73,134.25
74,151.5
75,140.5
76,194.75
77,193.25
78,153.25
79,166.25
80,171.75
81,171.5
82,187.75
83,212.0
84,167.25
85,208.5
86,196.0
87,178.25
88,170.5
89,156.5
90,151.25
91,192.5
92,178.25
93,224.5
94,163.0
95,154.25
96,184.25
97,224.5
98,156.75
99,127.5
100,135.75
101,167.0
102,186.75
103,173.25
104,148.75
105,161.75
106,159.75
107,161.25
108,198.5
109,171.25
110,184.0
111,190.75
112,181.0
113,155.25
114,168.0
115,185.25
116,191.5
117,244.25
118,172.75
119,159.75
120,166.0
121,179.75
122,219.0
123,216.0
124,187.5
125,172.75
126,191.75
127,201.25
128,172.75
129,183.5
130,173.25
131,206.5
132,150.0
133,217.0
134,165.5
135,197.0
136,199.25
137,209.25
138,363.15
139,157.0
140,152.75
141,218.75
142,162.75
143,192.25
144,247.25
145,133.25
146,159.25
147,175.25
148,140.0
149,241.75
150,160.25
151,195.0
152,152.25
153,167.5
154,142.25
155,157.75
156,168.0
157,224.75
158,167.0
159,227.75
160,206.5
161,160.75
162,241.25
163,197.0
164,190.25
165,201.0
166,145.25
167,171.25
168,168.0
169,160.5
170,158.0
171,143.75
172,199.5
173,160.75
174,177.75
175,159.25
176,217.0
177,150.25
178,219.15
179,226.75
180,127.5
181,203.0
182,147.75
183,224.75
184,202.5
185,176.75
186,176.75
187,149.25
188,167.5
189,160.0
190,202.25
191,200.5
192,216.25
193,198.25
194,196.75
195,180.0
196,154.75
197,193.5
198,179.0
199,148.5
200,177.25
